Price;Boat Type;Manufacturer;Condition ;Fuel ;Length;Width;Material;Country;City
CHF 10900;Runabout;Safter Marine power boats;new boat on order;;4.5;1.65;GRP;Switzerland; Zugersee
CHF 10900;Sport Boat;Century power boats;Used boat;;5.51;2.21;;Switzerland; Bielersee
EUR 10000;Sport Boat;Bayliner power boats;Used boat;;8.5;2.6;GRP;Italy; Toscana
EUR 10000;Sport Boat;Cigala & Bertinetti power boats;Used boat;;7.25;2.37;GRP;Italy;
EUR 10000;Sport Boat;Allegra power boats;new boat from stock;;5.9;2.38;;Italy; Lake Garda
EUR 10000;Trawler;;Used boat;;7.8;2.45;Steel;Netherlands; In verkoophaven
EUR 10000;Working Boat;Costruzioni Navali Srl power boats;Used boat;;12.0;3.0;Steel;Italy; Lombardia - Trentino Alto Adige
EUR 10000;Cabin Boat,Trawler;Werner  power boats;Used boat;;12.5;2.5;Steel;Germany; Brandenburg
EUR 10000;Sport Boat;A. Mostes power boats;Used boat;;7.15;2.36;GRP;Italy; Lombardia - Trentino Alto Adige
EUR 10000;Sport Boat;Bayliner power boats;Used boat;;7.02;2.52;PVC;France; CAP D'AGDE
EUR 10000;Cabin Boat;Bayliner power boats;Used boat;;7.02;2.52;PVC;France; CAP D'AGDE
EUR 11000;Sport Boat;Bayliner power boats;Used boat;;6.3;2.34;GRP;Italy; Friuli-Venezia Giulia
EUR 11000;Motor Yacht;Chrysler power boats;Used boat;;4.9;2.1;GRP;Germany; INFO DD-YACHTING
EUR 11000;Cabin Boat;Stingray power boats;Used boat;;6.5;2.4;GRP;Italy; Venezia
EUR 11000;Sport Boat;Bayliner power boats;Used boat;;7.03;2.54;PVC;France; GRANVILLE
EUR 11000;Bowrider,Classic;Sunbird power boats;Used boat;;5.79;2.2;Wood;France; Dienville
EUR 11000;Sport Boat;Mery Nautic power boats;Used boat;;5.2;2.15;;France; Granville
EUR 11000;Cabin Boat;Glastron power boats;Used boat;;6.13;2.39;GRP;Italy;
EUR 11000;Sport Boat;Sea Ray power boats;Used boat;;7.8;2.59;GRP;Italy; Lake Garda
EUR 11000;Motor Yacht,Sport Boat;Rio power boats;Used boat;;6.0;2.4;GRP;Spain; Baleares
EUR 11000;Cabin Boat;Birchwood power boats;Used boat;;7.4;2.5;GRP;Germany; Rhein
EUR 11000;Sport Boat;Bayliner power boats;Used boat;;7.62;2.97;GRP;Netherlands; In verkoophaven
EUR 10999;Deck Boat;Quicksilver (Brunswick Marine) power boats;new boat from stock;;5.07;2.12;GRP;Germany; Kieler Bucht mit Fehmarn
EUR 10999;Sport Boat;BlueCraft power boats;new boat from stock;;5.1;2.1;GRP;Germany; Nordrhein-Westfalen
EUR 10999;Sport Boat;Remus power boats;new boat from stock;;5.2;2.22;GRP;Germany; Nordrhein-Westfalen
EUR 10990;Cabin Boat;Quicksilver power boats;Used boat;;4.7;2.3;GRP;Germany; Verkaufshafen Brandenburg-Plaue
EUR 10990;Cabin Boat;Polar power boats;Diesel;;6.7;2.3;GRP;Germany; Ostsee
EUR 12000;Sport Boat;Bénéteau power boats;Used boat;;7.75;2.75;PVC;France; Mandelieu
EUR 12000;Classic,Runabout,Sport Boat;Cranchi power boats;Used boat;;6.43;2.25;GRP;Serbia; Belgrade
EUR 12000;Cabin Boat;;Used boat;;7.0;1.9;Wood;Germany; Berlin
EUR 12000;Cabin Boat;Wiking power boats;Used boat;;6.5;2.2;GRP;Germany; Berlin
EUR 12000;Sport Boat;Gobbi power boats;Used boat;;6.16;2.49;Plastic;Italy; Veneto
EUR 12000;Cabin Boat,Motor Yacht;Fjord power boats;Used boat;;7.2;2.95;GRP;Germany; Mecklenburg-Vorpommern
EUR 12000;Cabin Boat;;Used boat;;7.75;2.65;Steel;Netherlands; Friesland
EUR 11990;Sport Boat;;new boat from stock;;4.6;1.8;Aluminium;Germany; Erftstadt
EUR 11990;Sport Boat;Quicksilver power boats;Used boat;;5.0;4.96;PVC;France; Chalon-sur-Saône
CHF 12950;Sport Boat;Atlantic Marine power boats;new boat from stock;;5.3;2.39;GRP;Switzerland; Kesswil 
DKK 89000;Sport Boat;Crescent power boats;new boat from stock;;4.0;1.0;;Denmark; Svendborg
DKK 89000;Launch;;new boat from stock;;4.0;2.0;;Denmark; Svendborg
CHF 12900;Runabout;Safter Marine power boats;new boat from stock;;5.0;1.9;GRP;Switzerland; Zugersee
CHF 12900;Working Boat;Tinn-Silver power boats;Display Model;;4.5;1.75;Aluminium;Switzerland; Zugersee
CHF 13888;Runabout;Larson power boats;Used boat;;5.8;2.47;;Switzerland; Zugersee
EUR 12800;Sport Boat;;Used boat;;4.8;2.0;GRP;Germany;
EUR 12800;Sport Boat;Four Winns power boats;Used boat;;6.4;2.36;;Belgium; Brugge
EUR 12770;Bowrider;Maxima power boats;new boat from stock;;4.9;1.9;GRP;Germany; Lake Constance
DKK 94990;Launch;;new boat from stock;;4.0;1.0;;Denmark; Svendborg
EUR 12750;Deck Boat;;new boat from stock;;5.7;2.25;;Germany; DE
EUR 12680;Fishing Boat;Gropp power boats;Display Model;;5.5;1.65;Aluminium;Switzerland; Lake Constance
CHF 13690;Sport Boat;Orkney power boats;new boat from stock;;4.24;1.8;GRP;Switzerland; Thunersee
EUR 12500;Deck Boat;Quicksilver (Brunswick Marine) power boats;new boat from stock;;5.0;2.0;GRP;Italy; Friuli Venezia Giulia
EUR 12500;Trawler;;Used boat;;8.5;3.1;Steel;Netherlands; In verkoophaven
EUR 12500;Trawler;Schlosswerft power boats;Used boat;;14.7;3.65;Steel;Germany; Baden-Württemberg
EUR 12500;Sport Boat;Sea Ray power boats;Used boat;;5.6;2.2;GRP;Italy; Gardasee
EUR 12500;Cabin Boat;Compromis power boats;Used boat;;7.2;2.85;GRP;Netherlands; In verkoophaven
EUR 12500;Classic,Launch;;Used boat;;6.12;2.22;Wood;Netherlands; Amsterdam (NL)
EUR 12500;Classic,Launch;;Used boat;;6.0;2.2;Wood;Netherlands; Bezichtiging uitsluitend op afspraak
CHF 14800;Bowrider;Ranieri International power boats;new boat from stock;;5.1;2.1;GRP;Switzerland; Bielersee
CHF 14800;Cabin Boat,Sport Boat;Windy power boats;Used boat;;7.05;2.5;GRP;Switzerland; Finstersee
EUR 13690;Deck Boat;Jeanneau power boats;new boat from stock;;5.0;2.0;PVC;Slovak Republic; Bratislava
CHF 14700;Bowrider;Yamarin power boats;new boat from stock;;4.57;1.93;GRP;Switzerland; Vierwaldstättersee
EUR 13566;Sport Boat;Eolo power boats;new boat from stock;;5.7;2.1;;Germany; DE
CHF 14500;Pilothouse;Draco power boats;Used boat;;6.77;2.28;;Switzerland; Luganersee
EUR 13500;Sport Boat;Acquaviva (IT) power boats;Used boat;;5.95;2.48;GRP;Italy; Toscana
EUR 13500;Sport Boat;;Used boat;;6.4;2.54;GRP;Italy; Veneto
EUR 13500;Pilothouse;Arvor power boats;Used boat;;6.16;2.48;PVC;France; PLOUGERNEAU
EUR 13500;Motor Yacht;Bayliner power boats;Used boat;;7.75;2.57;GRP;Netherlands; In verkoophaven
EUR 13500;Sport Boat;Lema power boats;Used boat;;7.0;2.0;PVC;Spain; Torrevieja
EUR 13500;Center console boat;Ranieri power boats;Used boat;;5.45;2.15;GRP;Italy; Lombardia - Trentino Alto Adige
EUR 13500;Sport Boat;Windy power boats;Used boat;;8.8;2.79;GRP;Croatia (Hrvatska); INFO DD-YACHTING
EUR 13500;Deck Boat;Jeanneau power boats;Used boat;;4.5;2.0;PVC;France; ANDERNOS
EUR 13500;Sport Boat;Bénéteau power boats;Used boat;;6.5;2.44;Steel;France; PORNICHET
EUR 13500;Launch;;Used boat;;6.0;2.4;Wood;Netherlands; Grou
EUR 14500;Bowrider;Bayliner power boats;Used boat;;3.0;2.0;PVC;Portugal; Portimão
CHF 15619;Sport Boat;Buster power boats;new boat from stock;;4.86;1.85;Aluminium;Switzerland; Safenwil
CHF 15600;Fishing Boat;Smartliner power boats;new boat on order;;5.76;2.25;GRP;Switzerland; Lake Geneva
EUR 14400;Fishing Boat;;new boat from stock;;5.0;2.0;;Italy; Lago Maggiore
EUR 14366;Runabout;Karnic power boats;new boat from stock;;4.9;2.08;GRP;Germany; Lake Constance
CHF 15500;Center console boat;Seagull power boats;Used boat;;5.25;2.16;GRP;Switzerland; Lake Geneva
CHF 15400;Motor Yacht;B2 Marine power boats;new boat from stock;;4.52;1.9;;Switzerland; Lake Geneva
EUR 14200;Sport Boat;Allegra power boats;Used boat;;6.35;2.45;;Italy; Lombardia - Trentino Alto Adige
EUR 14200;Sport Boat;Romar power boats;new boat from stock;;5.68;1.99;GRP;Switzerland; Diessenhoen
EUR 14000;Sport Boat;Gobbi power boats;Used boat;;9.15;3.0;GRP;Italy; Veneto
EUR 14000;Deck Boat;Mingolla power boats;Used boat;;6.42;2.38;;Italy; Lake Garda
EUR 14000;Sport Boat;Gobbi power boats;Used boat;;6.42;2.38;GRP;Italy;
EUR 14000;Sport Boat;Allegra power boats;new boat from stock;;5.6;2.35;;Italy; Lake Garda
EUR 14000;Cabin Boat;SAS-Vektor power boats;Used boat;;4.99;2.07;GRP;Croatia (Hrvatska); Biograd
EUR 14000;Sport Boat;Rinker power boats;Used boat;;7.16;2.59;;Italy; Friuli-Venezia Giulia
EUR 14950;Motor Yacht;Quicksilver power boats;Used boat;;5.55;2.47;;Germany; BOOTSCENTER KESER GMBH
EUR 14900;Sport Boat;Marinello power boats;new boat from stock;;4.7;1.85;GRP;Germany; Stadtprozelten
EUR 14900;Motor Yacht;Sea Ray power boats;Used boat;;10.0;3.0;GRP;Croatia (Hrvatska); Istra
EUR 14900;Pontoon Boat;Ranieri International power boats;new boat from stock;;5.55;2.18;GRP;Italy; Dormelletto 
